tracklet_id,flight_id,cls,n_steps,n_obs,mean_dir_deg,R,rayleigh_p,median_inlier,disp_px,trusted
195,14,0,9,10,310.77,0.1315,0.862676,0.7818,209.41,False
196,14,0,6,7,261.56,0.6155,0.100082,0.8175,264.99,False
197,14,0,2,3,247.1,0.894,0.226704,0.8409,264.51,False
198,14,0,25,26,275.67,0.0387,0.964019,0.7436,273.7,False
199,14,0,3,4,267.77,0.9405,0.057284,0.9326,249.16,False
200,14,0,3,4,286.28,0.2644,0.836221,0.9221,4.59,False
201,14,0,22,23,20.81,0.0826,0.863227,0.7064,204.8,False
202,14,0,14,15,61.03,0.1792,0.646075,0.675,126.43,False
203,14,0,4,5,275.63,0.2501,0.800066,0.6672,57.81,False
204,14,0,6,7,102.22,0.2785,0.647202,0.6998,58.73,False
205,14,0,11,12,54.88,0.1718,0.731691,0.6773,10.61,False
206,14,0,9,10,89.99,0.2872,0.48887,0.6615,97.11,False
207,15,0,19,20,235.08,0.4205,0.032561,0.8659,98.11,False
208,15,0,19,20,220.37,0.4972,0.007541,0.8643,89.65,False
209,15,0,19,20,155.33,0.0829,0.880523,0.835,6.11,False
210,15,0,6,7,155.1,0.4268,0.350586,0.9048,2.54,False
211,15,0,32,33,277.91,0.1851,0.336883,0.8319,625.28,False
212,15,0,31,32,147.73,0.1297,0.597214,0.8575,888.93,False
213,15,0,1,2,169.14,1.0,0.512221,0.6653,28.73,False
214,15,0,0,1,,0.0,1.0,0.0,0.0,False
215,15,0,0,1,,0.0,1.0,0.0,0.0,False
216,15,0,0,1,,0.0,1.0,0.0,0.0,False
217,15,0,1,2,62.02,1.0,0.512221,0.6489,1.19,False
218,15,0,21,22,290.82,0.2517,0.267201,0.881,215.32,False
219,15,0,23,24,323.56,0.1854,0.458377,0.8929,269.62,False
220,15,0,4,5,233.23,0.2672,0.774867,0.7258,120.45,False
221,15,0,22,23,334.06,0.1356,0.672184,0.8919,118.2,False
222,15,0,22,23,298.92,0.1033,0.794581,0.8919,115.02,False
223,15,0,23,24,304.7,0.3393,0.06946,0.8929,87.26,False
224,15,0,20,21,317.65,0.2676,0.241261,0.8919,38.26,False
225,15,0,21,22,259.97,0.1143,0.764229,0.8929,85.26,False
226,15,0,38,39,50.55,0.1671,0.348191,0.8768,526.82,False
227,15,0,9,10,282.44,0.147,0.831254,0.8786,114.13,False
228,15,0,14,15,264.21,0.183,0.633979,0.8736,151.51,False
229,15,0,20,21,260.49,0.2767,0.218253,0.8919,158.53,False
230,15,0,10,11,241.49,0.2495,0.54836,0.9473,325.49,False
231,15,0,6,7,285.71,0.3588,0.481332,0.958,252.52,False
232,15,0,12,13,49.49,0.3238,0.289937,0.8292,135.8,False
233,15,0,13,14,15.59,0.1995,0.605109,0.8243,9.27,False
234,15,0,13,14,300.13,0.2342,0.498941,0.8243,38.03,False
235,15,0,10,11,22.64,0.2044,0.669625,0.8551,23.79,False
236,15,0,13,14,50.47,0.1865,0.645001,0.8243,36.12,False
237,15,0,13,14,294.04,0.2033,0.593477,0.8243,8.26,False
238,17,0,11,12,339.67,0.222,0.592311,0.6265,6.53,False
239,17,0,9,10,266.72,0.1698,0.781173,0.8669,41.54,False
240,17,0,9,10,249.34,0.326,0.39565,0.8669,157.68,False
241,17,0,9,10,238.87,0.3468,0.348765,0.8669,89.37,False
242,17,0,8,9,57.26,0.1525,0.839054,0.8673,19.66,False
243,18,0,64,65,99.98,0.0881,0.610553,0.6809,239.61,False
244,18,0,18,19,40.76,0.07,0.917822,0.5638,5.17,False
245,18,0,18,19,334.59,0.038,0.974994,0.5638,11.3,False
246,20,0,43,44,180.05,0.0529,0.887733,0.7352,323.14,False
247,20,0,43,44,241.47,0.1419,0.423214,0.7352,274.64,False
248,20,0,23,24,307.69,0.1681,0.52724,0.8628,71.89,False
249,20,0,21,22,340.5,0.0858,0.859802,0.8606,110.63,False
250,20,0,17,18,43.78,0.1071,0.827144,0.6763,78.18,False
251,20,0,27,28,211.11,0.2921,0.099152,0.6462,93.9,False
252,20,0,9,10,344.11,0.3041,0.447277,0.3449,10.24,False
253,21,0,31,32,250.46,0.0459,0.937793,0.7624,85.44,False
254,21,0,15,16,249.48,0.0942,0.878959,0.7201,102.14,False
255,21,0,31,32,99.87,0.1215,0.636434,0.7624,99.0,False
256,21,0,14,15,82.47,0.261,0.392335,0.8633,87.73,False
257,21,0,29,30,159.73,0.2788,0.104425,0.7345,867.78,False
258,21,0,12,13,159.59,0.2636,0.443443,0.6461,261.58,False
259,21,0,24,25,147.72,0.3407,0.060175,0.5468,773.85,False
260,22,0,0,1,,0.0,1.0,0.0,0.0,False
261,22,0,11,12,218.49,0.1311,0.834157,0.4208,650.37,False
262,22,0,17,18,116.72,0.1309,0.752756,0.4468,1579.24,False
263,22,0,1,2,78.74,1.0,0.512221,0.2711,119.39,False
264,22,0,1,2,32.87,1.0,0.512221,0.2711,175.96,False
265,22,0,15,16,263.43,0.3885,0.102847,0.3176,686.86,False
266,22,0,0,1,,0.0,1.0,0.0,0.0,False
267,22,0,0,1,,0.0,1.0,0.0,0.0,False
268,22,0,0,1,,0.0,1.0,0.0,0.0,False
269,22,0,26,27,8.74,0.0832,0.838014,0.3896,333.51,False
270,22,0,23,24,359.37,0.357,0.051664,0.381,120.83,False
271,22,0,19,20,232.1,0.2003,0.472687,0.382,294.35,False
272,22,0,3,4,137.97,0.482,0.540301,0.3146,17.94,False
273,26,1,12,13,216.21,0.3824,0.174679,0.2568,138.59,False
274,26,1,10,11,189.6,0.1588,0.785637,0.3049,55.0,False
275,26,1,26,27,69.54,0.1887,0.399942,0.3231,511.7,False
276,26,1,2,3,124.1,0.0033,0.999983,0.2839,0.07,False
277,26,1,42,43,244.34,0.109,0.610007,0.2964,760.4,False
278,26,1,9,10,256.53,0.1669,0.787662,0.3472,26.72,False
279,27,1,59,60,333.0,0.1084,0.501996,0.3118,1178.74,False
280,27,1,9,10,327.44,0.5613,0.054433,0.4083,15.31,False
281,27,1,11,12,196.32,0.0836,0.92902,0.4314,3.86,False
282,28,1,42,43,95.13,0.2595,0.05828,0.4564,754.26,False
283,28,1,15,16,33.6,0.5287,0.012637,0.5952,19.18,True
284,28,1,5,6,65.71,0.3649,0.538267,0.2723,32.45,False
285,28,1,5,6,71.2,0.4835,0.327917,0.2723,23.9,False
286,28,1,3,4,21.24,0.2961,0.798415,0.2471,21.85,False
287,28,1,5,6,158.45,0.3831,0.504161,0.2723,4.7,False
288,28,1,5,6,81.6,0.5624,0.213844,0.2723,4.02,False
289,28,1,5,6,343.01,0.1756,0.869217,0.2723,2.32,False
290,28,1,21,22,80.81,0.1899,0.474166,0.059,1205.46,False
291,29,1,26,27,251.25,0.1223,0.681807,0.3968,5.93,False
292,29,1,56,57,145.76,0.096,0.598643,0.4617,1132.88,False
293,29,1,10,11,145.72,0.6097,0.020044,0.4056,8.14,False
294,29,1,31,32,346.68,0.0872,0.792737,0.5789,426.55,False
295,29,1,27,28,356.3,0.247,0.193646,0.5804,56.8,False
296,30,1,22,23,66.52,0.5755,0.000399,0.5412,74.22,True
297,30,1,19,20,32.07,0.0672,0.919833,0.5481,4.26,False
298,30,1,18,19,297.15,0.1848,0.54734,0.5543,1.52,False
299,31,1,10,11,47.01,0.3003,0.416516,0.4545,16.92,False
300,31,1,16,17,37.24,0.4094,0.06634,0.4478,530.67,False
301,31,1,10,11,244.84,0.1069,0.896815,0.4545,38.58,False
